geoid_o,geoid_d,pop_flows
36061008200,None,139.0
36061007200,None,126.0
36081093401,None,114.0
36061010100,None,23.0
36047020100,None,179.0
36029006501,None,220.0
36055011303,None,60.0
36081017902,None,17.0
36065025002,None,82.0
36047018300,None,113.0
36081015300,None,60.0
36059414800,None,98.0
36061002902,None,111.0
36119000103,None,56.0
36061014802,None,131.0
36103145603,None,200.0
36085002002,None,66.0
36061013100,None,32.0
36081118900,None,86.0
36061012102,None,43.0
36047052600,None,78.0
36071010601,None,78.0
36055011605,None,95.0
36079011600,None,75.0
36061008400,None,62.0
36047041300,None,142.0
36119009703,None,56.0
36093021200,None,73.0
36047061002,None,119.0
36083041400,None,86.0
36061018900,None,83.0
36061012500,None,94.0
36047033900,None,84.0
36081091900,None,103.0
36061010400,None,11.0
36047121400,None,134.0
36061007600,None,38.0
36081014700,None,161.0
36103146616,None,156.0
36061013800,None,41.0
36103145901,None,66.0
36061009400,None,0.0
36059413400,None,49.0
36047017200,None,93.0
36061008800,None,50.0
36061004400,None,79.0
36029013502,None,90.0
36061013700,None,171.0
36061009800,None,81.0
36081048900,None,55.0
36059517701,None,51.0
36103111701,None,112.0
36005043000,None,94.0
36061013900,None,55.0
36005005002,None,66.0
36025970601,None,131.0
36061011900,None,49.0
36081049700,None,130.0
36103111601,None,76.0
36061009600,None,3.0
36119008700,None,65.0
36083051602,None,227.0
36047033500,None,242.0
36119012804,None,91.0
36047000502,None,93.0
36085011201,None,60.0
36047041700,None,62.0
36081094203,None,80.0
36065024800,None,73.0
36119014806,None,83.0
36111954100,None,94.0
36005023600,None,69.0
36077590500,None,110.0
36103147702,None,57.0
36061030700,None,106.0
36005038200,None,149.0
36061023300,None,57.0
36061001300,None,37.0
36045060803,None,242.0
36005020400,None,67.0
36081093402,None,144.0
36065025300,None,70.0
36085014604,None,50.0
36061009200,None,13.0
36081033404,None,46.0
36061009500,None,72.0
36119001800,None,266.0
36059414700,None,51.0
36061012700,None,47.0
36081077903,None,235.0
36061007400,None,66.0
36087011509,None,124.0
36081047500,None,34.0
36081115500,None,67.0
36081005900,None,69.0
36085023900,None,61.0
36093032502,None,153.0
36047047800,None,64.0
36081003100,None,28.0
36061010000,None,26.0
36047052800,None,73.0
36047073800,None,87.0
36047025300,None,66.0
36067016001,None,47.0
36109002000,None,187.0
36061011300,None,2.0
36047003700,None,16.0
36119000803,None,107.0
36061011500,None,74.0
36059415000,None,111.0
36061011100,None,165.0
36061008000,None,91.0
36083052306,None,300.0
36047039700,None,61.0
36081051700,None,80.0
36081099701,None,124.0
36103122902,None,81.0
36061001502,None,43.0
36047050202,None,92.0
